,Ho_ten,10%,20%_1,20%_2,Thi
216,72_134,7.875,6.25,6.5,6.5
217,72_135,8.25,8.0,8.0,8.0
218,72_141,7.125,6.5,6.25,6.0
219,72_142,7.25,0.0,0.0,0.0
220,72_143,6.875,6.5,6.0,5.0
221,72_144,6.375,6.375,6.0,5.0
222,72_145,7.25,6.5,6.5,6.0
223,72_151,7.375,6.5,7.5,7.0
224,72_152,7.25,6.75,7.0,7.0
225,72_153,7.125,6.75,6.75,7.0
226,72_154,7.75,6.375,7.5,7.0
227,72_155,7.875,6.125,6.75,7.0
