,10%,20%_1,20%_2,Thi
50,0.8,1.5750000000000002,1.3,3.875
51,0.8250000000000001,1.5,1.3,3.75
52,0.775,1.5,1.4000000000000001,3.75
53,0.8,1.4500000000000002,1.3,3.75
54,0.8125,1.5750000000000002,1.2000000000000002,3.875
55,0.75,1.2000000000000002,1.4000000000000001,3.25
56,0.75,1.5250000000000001,1.7000000000000002,4.0
57,0.7250000000000001,1.3,1.5,4.0
58,0.775,1.6,1.9000000000000001,4.5
59,0.7125,1.4000000000000001,1.5,4.0
60,0.0,0.0,0.0,0.0
61,0.7625000000000001,1.475,1.4000000000000001,3.5
62,0.0,0.0,0.0,0.0
63,0.0,1.55,1.5,3.0
64,0.75,1.4000000000000001,1.4000000000000001,3.5
65,0.7000000000000001,1.25,1.2000000000000002,3.5
66,0.0,0.0,0.0,0.0
67,0.05,1.1500000000000001,1.0,3.5
68,0.7375,1.475,1.3,3.75
69,0.375,0.525,1.2000000000000002,3.0
70,0.8250000000000001,1.55,1.6500000000000001,4.0
71,0.35000000000000003,0.65,1.2000000000000002,3.25
72,0.7250000000000001,1.3,1.2000000000000002,3.25
73,0.775,0.7000000000000001,1.5,3.75
74,0.0,0.0,0.0,0.0
75,0.65,1.3,1.2000000000000002,3.25
76,0.55,1.1,1.2000000000000002,2.5
77,0.65,1.4000000000000001,1.4000000000000001,3.375
78,0.7250000000000001,1.1,1.4000000000000001,3.0
79,0.75,1.0,1.2000000000000002,3.0
80,0.8,1.2000000000000002,1.2000000000000002,3.0
81,0.9,1.6,1.6,4.0
82,0.75,1.0,1.2000000000000002,3.0
83,0.65,1.2000000000000002,1.2000000000000002,3.0
84,0.8,1.3,1.4000000000000001,3.5
85,0.8,1.4000000000000001,1.4000000000000001,3.0
86,0.8,1.4000000000000001,1.4000000000000001,3.5
87,0.7238650442477876,1.2964380530973452,1.341858407079646,3.321986607142857
88,0.7238650442477876,1.2964380530973452,1.341858407079646,3.321986607142857
89,1.0,1.3,1.6,3.25
90,1.0,1.6,1.6,4.25
91,1.0,1.3,1.5,3.5
92,0.7000000000000001,1.2000000000000002,1.4000000000000001,3.5
93,1.0,1.35,1.6,3.5
94,1.0,1.3,1.6,3.5
95,0.7000000000000001,1.2000000000000002,1.3,3.321986607142857
96,0.7120000000000001,1.25,1.4000000000000001,3.25
97,0.775,1.25,1.4500000000000002,3.125
98,0.735,1.2000000000000002,1.4000000000000001,3.0
99,0.75,1.1,1.3,3.0
100,0.7120000000000001,1.1500000000000001,1.3,3.125
101,1.0,1.2000000000000002,1.3,3.25
102,1.0,1.3,1.3,3.25
103,0.7000000000000001,1.0,1.3,3.0
104,1.0,1.2000000000000002,1.3,3.25
105,1.0,1.3,1.3,3.25
106,0.9,1.25,1.4000000000000001,3.5
107,0.8,1.2000000000000002,1.3,3.25
108,0.9,1.4500000000000002,1.5,3.75
109,0.8,1.35,1.3,3.25
110,0.8,1.3,1.2000000000000002,3.0
111,0.8,1.2000000000000002,1.1,2.5
112,0.75,1.3,1.25,2.75
113,0.8500000000000001,1.1500000000000001,1.3,2.5
114,0.8,1.2000000000000002,1.3,2.5
115,0.7000000000000001,1.2000000000000002,1.2000000000000002,2.5
116,0.7000000000000001,1.4000000000000001,1.2000000000000002,2.5
117,0.7250000000000001,1.35,1.3,2.5
118,0.7000000000000001,1.3,1.2000000000000002,2.5
119,0.55,1.0,1.0,2.5
120,0.6000000000000001,1.3,1.2000000000000002,2.5
121,0.9,1.4000000000000001,1.3,3.0
122,0.9,1.4000000000000001,1.2000000000000002,3.0
123,0.7000000000000001,1.3,1.2000000000000002,3.0
124,0.9,1.4000000000000001,1.3,3.0
125,0.9,1.4000000000000001,1.2000000000000002,3.0
126,0.8,1.35,1.4000000000000001,3.5
127,0.8,1.35,1.6,3.5
128,0.8,1.3,1.5,3.5
129,0.8250000000000001,1.0,1.6,3.5
130,0.775,1.3,1.4000000000000001,3.5
131,0.9,1.5,1.4000000000000001,3.5
132,0.8,1.3,1.3,3.25
133,0.8,1.4000000000000001,1.4000000000000001,3.5
134,0.8,1.4000000000000001,1.4000000000000001,3.5
135,0.8,1.4000000000000001,1.4000000000000001,3.5
136,0.75,1.5,1.6,4.0
137,0.8,1.4000000000000001,1.6,4.0
138,0.8500000000000001,1.6500000000000001,1.6,4.0
139,0.8500000000000001,1.4000000000000001,1.3,3.25
140,0.8500000000000001,1.5,1.5,3.75
