,Ho_ten,10%,20%_1,20%_2,Thi
98,72_051,0.7000000000000001,0.8,0.8333333333333333,7.0
99,72_052,0.7000000000000001,0.8457142857142859,0.8055555555555556,6.75
100,72_053,0.7250000000000001,0.7428571428571429,0.888888888888889,7.75
101,72_054,0.6825000000000001,0.8,0.7777777777777778,7.0
102,72_055,0.7250000000000001,0.8285714285714286,0.8333333333333333,7.5
103,72_061,0.7250000000000001,0.7428571428571429,0.7222222222222222,6.5
104,72_062,0.6325000000000001,0.6857142857142858,0.6944444444444444,6.0
105,72_063,0.7000000000000001,0.6857142857142858,0.6666666666666667,6.0
106,72_064,0.65,0.6857142857142858,0.75,6.0
107,72_065,0.7250000000000001,0.7428571428571429,0.75,6.5
108,72_071,0.7125,0.7714285714285715,0.6666666666666667,6.5
109,72_072,0.7625000000000001,0.8142857142857143,0.6666666666666667,5.0
110,72_073,0.7625000000000001,0.7771428571428572,0.7777777777777778,6.0
111,72_074,0.675,0.8285714285714286,0.7777777777777778,6.0
112,72_075,0.7000000000000001,0.7857142857142857,0.7777777777777778,6.5
113,72_081,0.7375,0.8,0.75,6.5
114,72_082,0.6875,0.8,0.75,7.0
115,72_083,0.7250000000000001,0.7857142857142857,0.8055555555555556,7.25
116,72_084,0.6875,0.8142857142857143,0.7777777777777778,6.75
117,72_085,0.7125,0.8142857142857143,0.7777777777777778,6.75
118,72_091,0.7250000000000001,0.38571428571428573,0.7777777777777778,6.5
119,72_092,0.65,0.7714285714285715,0.7222222222222222,6.25
120,72_093,0.65,0.7857142857142857,0.75,6.75
121,72_094,0.30000000000000004,0.0,0.0,0.0
122,72_095,0.7125,0.7857142857142857,0.8055555555555556,7.0
123,72_101,0.775,0.9571428571428572,0.888888888888889,8.5
124,72_102,0.75,0.9285714285714286,0.888888888888889,8.5
125,72_103,0.7125,0.8857142857142858,0.8333333333333333,8.0
126,72_104,0.775,0.8714285714285716,0.7777777777777778,7.5
127,72_105,0.7375,0.9285714285714286,0.888888888888889,8.0
128,72_111,0.0,0.0,0.0,0.0
129,72_112,0.7125,0.8571428571428571,0.8333333333333333,6.5
130,72_113,0.6875,0.8142857142857143,0.8333333333333333,6.5
131,72_114,0.6625000000000001,0.7428571428571429,0.7222222222222222,5.75
132,72_115,0.375,0.38571428571428573,0.7222222222222222,6.0
133,72_121,0.775,0.9000000000000001,0.888888888888889,7.5
134,72_122,0.75,0.8714285714285716,0.8611111111111112,7.5
135,72_123,0.7125,0.8714285714285716,0.8333333333333333,7.5
136,72_124,0.7125,0.8428571428571429,0.8055555555555556,7.0
137,72_125,0.675,1.0,1.0,8.5
138,72_131,0.75,0.6857142857142858,0.7222222222222222,6.5
139,72_132,0.75,0.7714285714285715,0.6944444444444444,6.25
140,72_133,0.7250000000000001,0.7428571428571429,0.7222222222222222,6.0
141,72_134,0.7875000000000001,0.7142857142857143,0.7222222222222222,6.5
142,72_135,0.8250000000000001,0.9142857142857144,0.888888888888889,8.0
143,72_141,0.7125,0.7428571428571429,0.6944444444444444,6.0
144,72_142,0.7250000000000001,0.0,0.0,0.0
145,72_143,0.6875,0.7428571428571429,0.6666666666666667,5.0
146,72_144,0.6375000000000001,0.7285714285714286,0.6666666666666667,5.0
147,72_145,0.7250000000000001,0.7428571428571429,0.7222222222222222,6.0
148,72_151,0.7375,0.7428571428571429,0.8333333333333333,7.0
149,72_152,0.7250000000000001,0.7714285714285715,0.7777777777777778,7.0
150,72_153,0.7125,0.7714285714285715,0.75,7.0
151,72_154,0.775,0.7285714285714286,0.8333333333333333,7.0
152,72_155,0.7875000000000001,0.7000000000000001,0.75,7.0
